fromNode	toNode	weight	direction	fromAltName	toAltName
NDUFS5	DLD	0.00392649699410685	undirected	M.23	M.367
NDUFS5	NDUFB2	0.00155019674687895	undirected	M.23	M.132
NDUFS5	NDUFA4	0.00106679191919556	undirected	M.23	M.235
NDUFS5	CYCS	0.00149751482144833	undirected	M.23	M.294
NDUFS5	NDUFA5	0.00554472463580424	undirected	M.23	M.151
NDUFS5	NDUFAF6	0.00041085673707153	undirected	M.23	M.129
NDUFS5	NDUFB9	0.000833405473297244	undirected	M.23	M.217
NDUFS5	CYC1	0.00150106303012387	undirected	M.23	M.125
NDUFS5	UQCRB	0.00372870532185421	undirected	M.23	M.147
NDUFS5	COX6C	0.0010952766749035	undirected	M.23	M.163
NDUFS5	NDUFB6	3.04411386935488e-05	undirected	M.23	M.266
NDUFS5	NDUFA8	0.000709021806379329	undirected	M.23	M.366
NDUFS5	SURF1	0.000128126494749026	undirected	M.23	M.68
NDUFS5	COX7B	0.000354001388904845	undirected	M.23	M.266
NDUFS5	NDUFA1	0.00349723476013497	undirected	M.23	M.299
NDUFS5	NDUFB11	0.011304716722388	undirected	M.23	M.54
NDUFS5	IDH3G	0.00103733364213754	undirected	M.23	M.375
UQCRH	NDUFS2	0.00222286817034845	undirected	M.366	M.252
UQCRH	SDHC	0.00142063639189871	undirected	M.366	M.366
UQCRH	COX20	0.0005761474917374	undirected	M.366	M.220
UQCRH	SDHB	0.0224147107991024	undirected	M.366	M.346
UQCRH	FH	0.0471858922557172	undirected	M.366	M.366
UQCRH	NDUFS3	0.0183457884782127	undirected	M.366	M.81
UQCRH	COX8A	0.00135796503062224	undirected	M.366	M.125
UQCRH	NDUFV1	0.0345402984506855	undirected	M.366	M.252
UQCRH	NDUFS8	0.0110736396804172	undirected	M.366	M.252
UQCRH	TMEM126B	0.0101733464706847	undirected	M.366	M.389
UQCRH	NDUFC2	0.000473988770530065	undirected	M.366	M.364
UQCRH	ME3	0.000124503750633553	undirected	M.366	M.427
UQCRH	NDUFA9	0.00370025107383876	undirected	M.366	M.367
UQCRH	COX14	0.0435558809605248	undirected	M.366	M.366
UQCRH	COQ10A	0.000339111486446386	undirected	M.366	M.46
UQCRH	CS	0.00147866723506351	undirected	M.366	M.342
UQCRH	NDUFA12	0.00677718335943056	undirected	M.366	M.252
UQCRH	SUCLA2	0.000715146195969241	undirected	M.366	M.186
UQCRH	NUBPL	0.004889368212739	undirected	M.366	M.263
UQCRH	DLST	0.00343821382315868	undirected	M.366	M.33
UQCRH	NDUFB1	0.00225729447813416	undirected	M.366	M.132
UQCRH	IDH3A	0.000845965684059258	undirected	M.366	M.385
UQCRH	NDUFAF1	0.000299485565968038	undirected	M.366	M.380
UQCRH	COX5A	0.00971278546353482	undirected	M.366	M.252
UQCRH	ETFA	0.0083536106478479	undirected	M.366	M.339
UQCRH	IDH2	0.00709449079222291	undirected	M.366	M.232
UQCRH	FAHD1	0.00121733440864213	undirected	M.366	M.63
UQCRH	NDUFB10	0.0137540129421664	undirected	M.366	M.366
UQCRH	UQCRC2	0.0115543322794854	undirected	M.366	M.346
UQCRH	COX4I1	0.00771420109073517	undirected	M.366	M.252
UQCRH	TRAP1	0.00457250804073384	undirected	M.366	M.296
UQCRH	NDUFAB1	0.0050639265578738	undirected	M.366	M.266
UQCRH	TACO1	0.000900922821740258	undirected	M.366	M.58
UQCRH	SCO1	0.00149746204612433	undirected	M.366	M.169
UQCRH	COX11	0.000734054139379547	undirected	M.366	M.119
UQCRH	ME2	0.000687289144451153	undirected	M.366	M.367
UQCRH	NDUFS7	0.00583069847768358	undirected	M.366	M.153
UQCRH	COX6B1	0.011876516989864	undirected	M.366	M.132
UQCRH	ECSIT	0.00734339402210982	undirected	M.366	M.162
UQCRH	NDUFB7	0.00389799495015231	undirected	M.366	M.18
UQCRH	UQCRFS1	0.0181078275724181	undirected	M.366	M.27
UQCRH	ETFB	0.0023184213704921	undirected	M.366	M.299
UQCRH	NDUFAF7	0.000415591389180681	undirected	M.366	M.116
UQCRH	COX5B	0.0107454164699097	undirected	M.366	M.122
UQCRH	COQ10B	2.74048042564479e-05	undirected	M.366	M.157
UQCRH	NDUFB3	0.00207935618574784	undirected	M.366	M.220
UQCRH	COX7A2L	8.94499472191557e-05	undirected	M.366	M.67
UQCRH	LRPPRC	0.0183215421865214	undirected	M.366	M.125
UQCRH	SUCLG1	0.00751288129217897	undirected	M.366	M.63
UQCRH	NDUFS1	0.00524897259294699	undirected	M.366	M.367
UQCRH	NDUFA10	0.0042019393068502	undirected	M.366	M.33
UQCRH	NDUFAF5	0.0138443605087714	undirected	M.366	M.27
UQCRH	IDH3B	0.00153092869490579	undirected	M.366	M.419
UQCRH	NDUFV3	0.00105594019026289	undirected	M.366	M.307
UQCRH	UQCR10	0.00459762981520007	undirected	M.366	M.125
UQCRH	ACO2	0.0316100325888364	undirected	M.366	M.27
UQCRH	NDUFA6	0.00951520615289869	undirected	M.366	M.366
UQCRH	SCO2	3.80705023139694e-06	undirected	M.366	M.24
UQCRH	NDUFAF3	0.00135528287238074	undirected	M.366	M.178
UQCRH	TIMMDC1	0.00906153076010197	undirected	M.366	M.178
UQCRH	NDUFB4	0.0192899152281406	undirected	M.366	M.364
UQCRH	ACAD9	0.00162090976522089	undirected	M.366	M.203
UQCRH	NDUFB5	0.00580060047845499	undirected	M.366	M.389
UQCRH	UQCRC1	0.00226355813736134	undirected	M.366	M.406
UQCRH	SUCLG2	0.00595568569194393	undirected	M.366	M.18
UQCRH	ETFDH	0.028761721959524	undirected	M.366	M.27
UQCRH	COX18	4.21393630698486e-05	undirected	M.366	M.97
UQCRH	NDUFC1	0.00156483185602996	undirected	M.366	M.389
UQCRH	SDHA	0.0146805580986492	undirected	M.366	M.232
UQCRH	NDUFS6	0.00207515460769758	undirected	M.366	M.74
UQCRH	NNT	0.00188558793894544	undirected	M.366	M.303
UQCRH	NDUFS4	0.00112827571502983	undirected	M.366	M.159
UQCRH	NDUFAF2	0.00055950077346445	undirected	M.366	M.233
UQCRH	COX7C	0.0217105878851287	undirected	M.366	M.355
UQCRH	UQCRQ	0.0107682602767584	undirected	M.366	M.366
UQCRH	NDUFA2	0.00247895043684576	undirected	M.366	M.125
UQCRH	NDUFAF4	0.0127383692314734	undirected	M.366	M.27
UQCRH	OGDH	0.00126907422040734	undirected	M.366	M.367
UQCRH	MDH2	0.00318326487970111	undirected	M.366	M.294
UQCRH	DLD	0.00204261168678976	undirected	M.366	M.367
UQCRH	NDUFB2	0.00655509804938259	undirected	M.366	M.132
UQCRH	NDUFA4	0.010896868188446	undirected	M.366	M.235
UQCRH	CYCS	0.00213577687391475	undirected	M.366	M.294
UQCRH	NDUFA5	0.0330422196294369	undirected	M.366	M.151
UQCRH	NDUFAF6	0.00499668872503001	undirected	M.366	M.129
UQCRH	NDUFB9	0.00874018233914431	undirected	M.366	M.217
UQCRH	CYC1	0.0182734244006872	undirected	M.366	M.125
UQCRH	UQCRB	0.00515570799698917	undirected	M.366	M.147
UQCRH	COX6C	0.0237718736418462	undirected	M.366	M.163
UQCRH	NDUFB6	0.00192149301867828	undirected	M.366	M.266
UQCRH	NDUFA8	0.019862647982001	undirected	M.366	M.366
UQCRH	SURF1	2.89342059502928e-05	undirected	M.366	M.68
UQCRH	COX7B	0.00498474616214772	undirected	M.366	M.266
UQCRH	NDUFA1	0.00543405129462904	undirected	M.366	M.299
UQCRH	NDUFB11	0.0167028729992451	undirected	M.366	M.54
UQCRH	IDH3G	0.00156951769257341	undirected	M.366	M.375
NDUFS2	SDHC	0.00673474754052494	undirected	M.252	M.366
NDUFS2	COX20	0.000168274870212426	undirected	M.252	M.220
NDUFS2	SDHB	0.00875681580776311	undirected	M.252	M.346
NDUFS2	FH	0.0116110555547738	undirected	M.252	M.366
NDUFS2	NDUFS3	0.000759209344959988	undirected	M.252	M.81
NDUFS2	COX8A	0.00295999723392437	undirected	M.252	M.125
NDUFS2	NDUFV1	0.0331180926944279	undirected	M.252	M.252
